		-20	-15	-10	-7	2	7	10	20	30	35
COP	25	2,6	2,8	3,2	3,4	4,7	6,3	5,6	8,2	8,7	8,7
COP	35	2,3	2,5	2,8	3	4	5,2	5,2	8,2	8,7	8,7
COP	45	2	2,2	2,4	2,6	3,3	4,1	4,8	5,4	8,5	8,5
COP	55	1,8	2	2,2	2,3	2,8	3,4	3,7	4,8	6,4	6,4
COP	65	1,6	1,8	2	2,1	2,5	2,8	3	3,7	4,7	4,7
COP	70	0	0	1,8	1,9	2,3	2,6	2,7	3,3	4,1	4,1
Qmax	25	0,75	0,85	0,97	1,04	0,62	0,76	0,84	1,09	0,86	0,86
Qmax	35	0,70	0,80	0,93	1,00	0,60	0,73	0,79	1,05	1,08	1,08
Qmax	45	0,66	0,76	0,88	0,96	0,59	0,70	0,75	1,00	1,30	1,30
Qmax	55	0,63	0,75	0,87	0,95	0,58	0,68	0,75	1,01	1,31	1,31
Qmax	65	0,41	0,55	0,72	0,82	0,57	0,68	0,75	0,99	1,26	1,26
Qmax	70	0,00	0,00	0,54	0,62	0,57	0,68	0,75	0,98	1,25	1,25
