Datum (MEZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2022-01-01T00:00+01:00,3201.777085,10083.19273,38157.71732,69.17
2022-01-01T00:15+01:00,3318.198266,10096.18676,37994.4585,35.61
2022-01-01T00:30+01:00,3337.470388,10075.76287,37523.51649,23.14
2022-01-01T00:45+01:00,3335.913448,10066.39385,37389.44244,-3.88
2022-01-01T01:00+01:00,3344.147265,10021.89588,36863.46245,85.06
2022-01-01T01:15+01:00,3343.478579,9976.025256,36727.90922,36.13
2022-01-01T01:30+01:00,3340.085248,9962.021903,36325.92181,-3.42
2022-01-01T01:45+01:00,3337.620094,10025.29421,35668.61472,-31.94
2022-01-01T02:00+01:00,3340.753934,9976.799935,35618.61983,28.25
2022-01-01T02:15+01:00,3338.468426,9918.674272,35204.12109,9.82
2022-01-01T02:30+01:00,3341.502463,9890.891743,34648.83811,2.08
2022-01-01T02:45+01:00,3330.833432,9873.962674,34572.6088,1.99
2022-01-01T03:00+01:00,3341.083287,9927.63591,34222.15602,13.86
2022-01-01T03:15+01:00,3335.933409,9905.401259,33945.54549,0.82
2022-01-01T03:30+01:00,3335.96335,9912.464004,33501.41015,9.91
2022-01-01T03:45+01:00,3330.424237,9927.676617,33518.77542,12.44
2022-01-01T04:00+01:00,3335.164919,9941.343117,32912.64985,-9.39
2022-01-01T04:15+01:00,3336.162957,9915.832666,32992.26136,4.59
2022-01-01T04:30+01:00,3337.550231,9942.894385,32526.22442,2.84
2022-01-01T04:45+01:00,3334.246724,10012.23097,32032.79339,16.38
2022-01-01T05:00+01:00,3338.228897,10025.35639,31293.6884,10.18
2022-01-01T05:15+01:00,3338.747877,10134.46405,30698.35053,61.94
2022-01-01T05:30+01:00,3344.606362,10302.88843,30232.26404,17.92
2022-01-01T05:45+01:00,3341.821835,10312.58848,30031.9974,-26.4
2022-01-01T06:00+01:00,3336.582134,10264.52829,30193.39443,-29.94
2022-01-01T06:15+01:00,3335.753762,10306.39526,30180.58487,7.42
2022-01-01T06:30+01:00,3339.187014,10346.3694,30352.81871,10.25
2022-01-01T06:45+01:00,3335.394468,10382.7869,30357.51611,10.2
2022-01-01T07:00+01:00,3333.737724,10595.58214,30127.27124,-68.55
2022-01-01T07:15+01:00,3327.210553,10622.72805,29635.84559,-35.64
2022-01-01T07:30+01:00,3304.954296,10698.78433,29255.83748,48.82
2022-01-01T07:45+01:00,3325.83326,10643.28351,29035.51707,60.55
2022-01-01T08:00+01:00,3338.668034,10952.24024,28443.96188,-149.99
2022-01-01T08:15+01:00,3336.352585,10925.47159,27785.98955,-149.99
2022-01-01T08:30+01:00,3340.853738,10928.23109,27614.82819,13.56
2022-01-01T08:45+01:00,3332.33049,11032.97599,28000.49433,528.79
2022-01-01T09:00+01:00,3324.2863,11109.08257,28544.71291,-24.55
2022-01-01T09:15+01:00,3321.611557,11092.62703,29080.51895,57.42
2022-01-01T09:30+01:00,3323.198439,11175.03657,29180.59248,107.38
2022-01-01T09:45+01:00,3327.559866,11166.57179,29437.50218,133.77
2022-01-01T10:00+01:00,3330.234609,11349.01638,29673.28464,3.47
2022-01-01T10:15+01:00,3329.775512,11464.75075,29931.34555,72.12
2022-01-01T10:30+01:00,3333.218744,11385.42815,30364.81739,120.75
2022-01-01T10:45+01:00,3337.729878,11412.71955,30581.95079,77.3
