Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2024-01-01T00:00+01:00,9019.411195,42146.99711,39.91
2024-01-01T00:15+01:00,8819.891974,41728.9146,-0.04
2024-01-01T00:30+01:00,8713.642612,41585.99513,-9.01
2024-01-01T00:45+01:00,8668.456435,41708.70517,-29.91
2024-01-01T01:00+01:00,8676.866225,41659.44585,25.28
2024-01-01T01:15+01:00,8695.876368,41411.75321,-24.91
2024-01-01T01:30+01:00,8685.348899,41072.54446,-0.07
2024-01-01T01:45+01:00,8642.217204,41211.1238,-0.08
2024-01-01T02:00+01:00,8660.532813,41424.92944,-0.05
2024-01-01T02:15+01:00,8677.389848,41333.36169,-0.06
2024-01-01T02:30+01:00,8687.668456,41291.83942,-0.04
2024-01-01T02:45+01:00,8669.09419,40991.70313,-0.42
2024-01-01T03:00+01:00,8710.636085,40501.49074,22.4
2024-01-01T03:15+01:00,8716.641473,40158.21757,-0.08
2024-01-01T03:30+01:00,8709.931615,40069.87522,-32.41
2024-01-01T03:45+01:00,8728.62668,40102.01514,5.08
2024-01-01T04:00+01:00,8718.295411,39960.36638,-0.09
2024-01-01T04:15+01:00,8698.456466,40056.21556,-0.09
2024-01-01T04:30+01:00,8662.240972,39957.44948,-8.63
2024-01-01T04:45+01:00,8658.245505,39716.71193,-0.08
2024-01-01T05:00+01:00,8699.29771,40115.78736,-0.04
2024-01-01T05:15+01:00,8710.307603,40387.74149,-22.21
2024-01-01T05:30+01:00,8711.475434,40454.083,-0.02
2024-01-01T05:45+01:00,8728.133734,40169.17695,14.91
2024-01-01T06:00+01:00,8750.903715,40259.92454,14.91
2024-01-01T06:15+01:00,8730.225662,39985.34042,0
2024-01-01T06:30+01:00,8719.978569,39662.7114,-0.05
2024-01-01T06:45+01:00,8744.435735,39690.49967,-22.75
2024-01-01T07:00+01:00,8739.665245,39818.88327,-44.9
2024-01-01T07:15+01:00,8712.536726,40073.12478,-4.95
2024-01-01T07:30+01:00,8715.345662,40328.88823,-0.09
2024-01-01T07:45+01:00,8665.317814,40556.79325,49.9
2024-01-01T08:00+01:00,8686.941108,40933.39679,-0.07
2024-01-01T08:15+01:00,8727.545176,40930.44041,-0.06
2024-01-01T08:30+01:00,8686.793015,41408.83463,-9.91
2024-01-01T08:45+01:00,8681.352769,42175.73084,-4.68
2024-01-01T09:00+01:00,8640.568473,42494.08364,-14.92
2024-01-01T09:15+01:00,8657.066819,43125.4661,-14.92
2024-01-01T09:30+01:00,8638.625005,43822.48843,-0.1
2024-01-01T09:45+01:00,8647.095788,44684.62647,11.62
2024-01-01T10:00+01:00,8762.866909,45443.74727,-17.44
2024-01-01T10:15+01:00,8855.222443,46424.90702,-19.91
2024-01-01T10:30+01:00,8864.320667,47331.92334,13.18
2024-01-01T10:45+01:00,8822.054193,47358.57875,-0.01
2024-01-01T11:00+01:00,8720.235649,47785.66295,8.89
2024-01-01T11:15+01:00,8737.324781,48303.64245,-0.1
2024-01-01T11:30+01:00,8683.148122,48744.77664,-17.41
2024-01-01T11:45+01:00,8718.779061,49005.99281,-17.42
2024-01-01T12:00+01:00,8765.428103,48324.47644,-7.2
2024-01-01T12:15+01:00,8803.447722,48001.01699,-0.07
2024-01-01T12:30+01:00,8757.677256,47870.24748,-0.07
2024-01-01T12:45+01:00,8755.283136,47229.2776,-17.42
2024-01-01T13:00+01:00,8719.348435,46584.22747,-19.9
2024-01-01T13:15+01:00,8697.727057,45979.61532,-7.44
2024-01-01T13:30+01:00,8660.233225,45468.10124,-0.07
2024-01-01T13:45+01:00,8711.629439,44882.9922,-0.07
2024-01-01T14:00+01:00,8836.314453,43563.93111,12.18
2024-01-01T14:15+01:00,8893.980738,42805.10754,-0.05
2024-01-01T14:30+01:00,8907.879303,42102.84229,-14.93
2024-01-01T14:45+01:00,8920.093648,41330.00944,-4.91
2024-01-01T15:00+01:00,8933.531242,40392.55143,-0.07
2024-01-01T15:15+01:00,8972.648823,39764.01871,-0.03
